,parameters,u_mass
0,"(1, 1.5, 1.5)",-5.210080497125843
1,"(1, 1.5, 2)",-5.210080497125843
2,"(1, 1.5, 2.5)",-5.210080497125843
3,"(1, 1.5, 3)",-5.210080497125843
4,"(1, 2, 1.5)",-5.210080497125843
5,"(1, 2, 2)",-5.210080497125843
6,"(1, 2, 2.5)",-5.210080497125843
7,"(1, 2, 3)",-5.210080497125843
8,"(1, 2.5, 1.5)",-5.210080497125843
9,"(1, 2.5, 2)",-5.210080497125843
10,"(1, 2.5, 2.5)",-5.210080497125843
11,"(1, 2.5, 3)",-5.210080497125843
12,"(1, 3, 1.5)",-5.210080497125843
13,"(1, 3, 2)",-5.210080497125843
14,"(1, 3, 2.5)",-5.210080497125843
15,"(1, 3, 3)",-5.210080497125843
