,parameters,u_mass
0,"(5, 'auto', 'auto')",-9.086522023064173
1,"(5, 'auto', 'symmetric')",-9.086522023064173
2,"(5, 'symmetric', 'auto')",-9.34381017133187
3,"(5, 'symmetric', 'symmetric')",-9.34381017133187
4,"(5, 'asymmetric', 'auto')",-10.935388395161755
5,"(5, 'asymmetric', 'symmetric')",-10.935388395161755
6,"(6, 'auto', 'auto')",-10.50212599863936
7,"(6, 'auto', 'symmetric')",-10.50212599863936
8,"(6, 'symmetric', 'auto')",-9.850492823605363
9,"(6, 'symmetric', 'symmetric')",-9.850492823605363
10,"(6, 'asymmetric', 'auto')",-12.116838095075972
11,"(6, 'asymmetric', 'symmetric')",-12.116838095075972
12,"(7, 'auto', 'auto')",-10.459862801558641
13,"(7, 'auto', 'symmetric')",-10.459862801558641
14,"(7, 'symmetric', 'auto')",-10.096136511383326
15,"(7, 'symmetric', 'symmetric')",-10.096136511383326
16,"(7, 'asymmetric', 'auto')",-13.481739428455919
17,"(7, 'asymmetric', 'symmetric')",-13.481739428455919
18,"(8, 'auto', 'auto')",-11.68422829165026
19,"(8, 'auto', 'symmetric')",-11.68422829165026
20,"(8, 'symmetric', 'auto')",-11.63071185410693
21,"(8, 'symmetric', 'symmetric')",-11.63071185410693
22,"(8, 'asymmetric', 'auto')",-13.926950708613006
23,"(8, 'asymmetric', 'symmetric')",-13.926950708613006
24,"(9, 'auto', 'auto')",-11.528437270159722
25,"(9, 'auto', 'symmetric')",-11.528437270159722
26,"(9, 'symmetric', 'auto')",-11.11085284247538
27,"(9, 'symmetric', 'symmetric')",-11.11085284247538
28,"(9, 'asymmetric', 'auto')",-14.4747903674433
29,"(9, 'asymmetric', 'symmetric')",-14.4747903674433
30,"(10, 'auto', 'auto')",-11.7515549417938
31,"(10, 'auto', 'symmetric')",-11.7515549417938
32,"(10, 'symmetric', 'auto')",-11.380806419584767
33,"(10, 'symmetric', 'symmetric')",-11.380806419584767
34,"(10, 'asymmetric', 'auto')",-14.828260555748619
35,"(10, 'asymmetric', 'symmetric')",-14.828260555748619
